product_name,price
Diyadin - 3+1,10.000 TL
Doğubayazıt / Doğubeyazıt - 2+1,12.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,12.000 TL
Patnos - 1+1,12.000 TL
Patnos - Stüdyo (1+0),6.900 TL
Doğubayazıt / Doğubeyazıt - 3+1,12.000 TL
Merkez / Kazımkarabekir - 3+1,12.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,12.000 TL
Doğubayazıt / Doğubeyazıt - Stüdyo (1+0),10.000 TL
Patnos - 1+1,1.111 TL
Doğubayazıt / Doğubeyazıt - 1+1,12.000 TL
Merkez / Kazımkarabekir - 3+1,10.000 TL
Patnos - 2+0,1.111 TL
Merkez / Kazımkarabekir - 2+1,12.000 TL
Merkez / Kazımkarabekir - 1+1,11.500 TL
Merkez / Kazımkarabekir - 3+1,11.500 TL
Doğubayazıt / Doğubeyazıt - 1+1,9.000 TL
Patnos - 2+1,11.000 TL
Patnos - 2+0,12.000 TL
Doğubayazıt / Doğubeyazıt - 3+1,11.000 TL
Doğubayazıt / Doğubeyazıt - 3+1,11.000 TL
Patnos - 1+1,9.000 TL
Doğubayazıt / Merkez - 1+1,12.000 TL
Doğubayazıt / Merkez - 1+1,11.000 TL
Doğubayazıt / Merkez - 3+1,14.000 TL
Doğubayazıt / Merkez - 2+1,13.000 TL
Merkez / Kazımkarabekir - 1+1,13.000 TL
Merkez / Kazımkarabekir - 1+1,15.000 TL
Doğubayazıt / Doğubeyazıt - 3+1,14.000 TL
Merkez / Fevziçakmak - 2+1,14.000 TL
Patnos / Tutak - 2+1,13.000 TL
Merkez / Kazımkarabekir - 2+1,13.000 TL
Merkez / Kazımkarabekir - 2+1,14.000 TL
Doğubayazıt / Merkez - 3+1,15.000 TL
Doğubayazıt / Merkez - 3+1,15.000 TL
Diyadin - 5+1,13.000 TL
Merkez / Kazımkarabekir - 3+1,13.000 TL
Merkez / Kazımkarabekir - 1+1,14.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,13.500 TL
Doğubayazıt / Doğubeyazıt - 1+1,15.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,13.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,15.000 TL
Merkez / Kazımkarabekir - 3+1,14.500 TL
Merkez / Kazımkarabekir - 3+1,15.000 TL
Doğubayazıt / Doğubeyazıt - 3+1,15.000 TL
Patnos - 2+1,15.000 TL
Merkez / Kazımkarabekir - 3+1,13.500 TL
Merkez / Kazımkarabekir - 3+1,13.500 TL
Doğubayazıt / Doğubeyazıt - 2+1,15.000 TL
Eleşkirt - 1+1,12.500 TL
Patnos - 1+1,15.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,15.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,15.000 TL
Doğubayazıt / Merkez - 3+1,13.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,15.000 TL
Patnos - 2+1,14.250 TL
Doğubayazıt / Doğubeyazıt - 1+1,13.000 TL
Doğubayazıt / Doğubeyazıt - 2+1,13.000 TL
Doğubayazıt / Doğubeyazıt - 2+1,13.000 TL
Merkez / Kazımkarabekir - 3+1,15.000 TL
Patnos - 1+1,13.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,15.000 TL
Merkez / Kazımkarabekir - 3+1,15.000 TL
Merkez / Kazımkarabekir - 3+1,14.500 TL
Patnos - 2+0,13.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,13.000 TL
Patnos - 1+1,12.500 TL
Patnos - 1+1,14.500 TL
Doğubayazıt / Doğubeyazıt - 2+1,14.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,13.500 TL
Merkez / Kazımkarabekir - 3+1,13.000 TL
Doğubayazıt / Merkez - 1+1,13.000 TL
Merkez / Kazımkarabekir - 3+1,14.500 TL
Merkez / Kazımkarabekir - 3+1,13.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,14.000 TL
Merkez / Kazımkarabekir - 2+1,13.500 TL
Merkez / Kazımkarabekir - 3+1,15.000 TL
Merkez / Kazımkarabekir - 1+1,15.000 TL
Doğubayazıt / Merkez - 3+1,14.500 TL
Merkez / Kazımkarabekir - 2+1,15.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,14.000 TL
Merkez / Kazımkarabekir - 3+1,14.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,14.000 TL
Doğubayazıt / Merkez - 1+1,13.000 TL
