City,District,Rooms,Price
Van,İpekyolu / Merkez,1+1,11.000 TL
Van,İpekyolu / Merkez,1+1,8.000 TL
Van,Edremit,3+1,10.000 TL
Van,Erciş,2+1,7.500 TL
Van,Tuşba / Merkez,1+1,10.500 TL
Van,Tuşba / Merkez,2+1,5.000 TL
Van,İpekyolu / Merkez,1+1,10.500 TL
Van,Erciş,1+1,9.000 TL
Van,İpekyolu / Merkez,1+1,11.500 TL
Van,İpekyolu / Merkez,1+1,10.000 TL
Van,İpekyolu / Merkez,1+1,11.000 TL
Van,Edremit,3+1,12.000 TL
Van,Tuşba / Merkez,3+1,7.000 TL
Van,İpekyolu / Merkez,1+1,10.000 TL
Van,Edremit,3+1,11.500 TL
Van,İpekyolu / Merkez,1+1,12.000 TL
Van,İpekyolu / Merkez,1+1,11.500 TL
Van,Erciş,2+0,12.000 TL
Van,Erciş,1+1,12.000 TL
Van,İpekyolu / Merkez,1+1,12.000 TL
Van,İpekyolu / Merkez,1+1,11.000 TL
Van,İpekyolu / Merkez,1+1,11.000 TL
Van,İpekyolu / Merkez,1+1,12.000 TL
Van,Edremit,3+1,10.500 TL
Van,İpekyolu / Merkez,1+1,12.000 TL
Van,Erciş,3+1,9.500 TL
Van,Erciş,1+1,10.500 TL
Van,İpekyolu / Merkez,1+1,11.000 TL
Van,İpekyolu / Merkez,1+1,11.000 TL
Van,İpekyolu / Merkez,1+1,12.000 TL
Van,İpekyolu / Merkez,1+1,12.000 TL
Van,Erciş,3+1,10.000 TL
Van,İpekyolu / Merkez,1+1,10.000 TL
Van,İpekyolu / Merkez,1+1,12.000 TL
Van,Tuşba / Merkez,1+1,12.000 TL
Van,Erciş,1+1,12.000 TL
Van,Erciş,2+1,11.500 TL
Van,Tuşba / Merkez,3+1,12.000 TL
Van,İpekyolu / Merkez,1+1,11.500 TL
Van,İpekyolu / Merkez,1+1,10.500 TL
Van,İpekyolu / Merkez,Stüdyo (1+0),10.000 TL
Van,İpekyolu / Merkez,1+1,8.500 TL
Van,İpekyolu / Merkez,1+1,12.000 TL
Van,İpekyolu / Merkez,2+1,12.000 TL
Van,Tuşba / Merkez,1+1,12.000 TL
Van,Erciş,1+1,10.500 TL
Van,İpekyolu / Merkez,1+1,11.000 TL
Van,İpekyolu / Merkez,1+1,12.000 TL
Van,İpekyolu / Merkez,2+1,7.999 TL
Van,Tuşba / Merkez,1+1,12.000 TL
