item_name,price
Merkez / Tunceli - 3+1,25000.0
Merkez / Tunceli - 3+1,38000.0
Merkez / Tunceli - 3+1,26000.0
Merkez / Tunceli - 1+1,18500.0
Merkez / Tunceli - 2+0,20000.0
Pertek - 3+1,15000.0
Merkez / Tunceli - 3+1,20000.0
Merkez / Tunceli - 2+1,15000.0
Merkez / Tunceli - 3+1,15000.0
Pertek - 2+1,23500.0
Merkez / Tunceli - 3+1,22000.0
Merkez / Tunceli - 3+1,23000.0
Merkez / Tunceli - 3+1,20000.0
Merkez / Tunceli - 1+1,27000.0
Merkez / Tunceli - 3+1,25000.0
Merkez / Tunceli - 3+1,18500.0
Merkez / Tunceli - 3+1,30000.0
Merkez / Tunceli - 1+1,18500.0
Merkez / Tunceli - 3+1,17500.0
Merkez / Tunceli - 1+1,19000.0
Merkez / Tunceli - 2+1,17000.0
