product_name,price
Akdeniz Toros Piliç Fırınlık Üst But Kuru Yolum Kg,"₺169,99"
Akdeniz Toros Piliç Bonfile Kuru Yolum Kg,"₺359,99"
Dana Kıyma Köftelik Kg,"₺1.179,99"
Dana Döş Kıyma Yemeklik Az Yağlı Kg,"₺1.119,99"
Akdeniz Toros Donuk Piliç Eko Kanat Kg,"₺219,99"
Kuzu Küşleme kg,"₺1.519,99"
Dana Rosto Kg,"₺1.479,99"
Dana Tas Kebabı Kg,"₺1.249,99"
Dana Stragonof (Parmak Sote) Kg,"₺1.249,99"
Donuk Piliç Kuru Yolum Sırtsız Kemikli Göğüs Kg,"₺259,99"
Akdeniz Toros Piliç Kuru Yolum Donuk İncik Kg,"₺269,99"
Akdeniz Toros Bonfile Kuşbaşı Kuru Yolum kg,"₺379,99"
Akdeniz Toros Piliç Baget Kuru Yolum Donuk kg,"₺229,99"
Akdeniz Toros Piliç Donuk Fırınlık Üst But Kuru Yolum Kg,"₺169,99"
Akdeniz Toros Donuk Bütün Tavuk Kuru Yolum Kg,"₺199,99"
Akdeniz Toros Piliç Sosis 225 gr 5'li,"₺69,95"
Akdeniz Toros Pizza Vejeteryan Orta 2'Li 2*320 Gr,"₺224,95"
Akdeniz Toros Pizza Vejeteryan Küçük 4'Lü 4*185 Gr,"₺299,95"
Akdeniz Toros Pizza Margarita Orta 2'Li 2*290 Gr,"₺209,95"
Akdeniz Toros Pizza Margarita Küçük 4'Lü 4*180 Gr,"₺289,95"
Akdeniz Toros Pizza Karışık Orta 2'Li 2*340 Gr,"₺259,95"
Akdeniz Toros Pizza Karışık Küçük 4'lü 4*190 Gr,"₺319,95"
Akdeniz Toros Piliç Sırtsız Kemikli Göğüs Kg Kuru Yolum,"₺259,99"
Akdeniz Toros Donuk Piliç Pirzola Kuru Yolum kg,"₺339,99"
Akdeniz Toros Piliç Donuk Kanat Kuru Yolum Kg,"₺399,99"
Akdeniz Toros Donuk Çıtır Kelebek Kg,"₺239,99"
Akdeniz Toros Piliç Nugget 500 g,"₺219,95"
Dana Gulaş Kg,"₺1.249,99"
Kıvırcık Kuzu Şiş Kg,"₺1.299,99"
Akdeniz Toros Piliç Kuru Yolum Izgara Şiş Tabaklı Kg,"₺479,99"
Kıvırcık Kuzu Ciğer Kg,"₺1.649,99"
Akdeniz Toros Baton Sucuk Kg,"₺1.499,99"
Akdeniz Toros Piliç Salam Açık Kg,"₺259,99"
Akdeniz Toros Piliç Salam 250 g,"₺69,95"
Akdeniz Toros Dana Sucuk Acılı 200 g,"₺289,95"
Akdeniz Toros Dana Kangal Sucuk Kg,"₺1.489,99"
Akdeniz Toros Gezen Tavuk (Donuk) Bütün Piliç Kuru Yolum Kg,"₺299,99"
Dana Kasap Köfte Açık Kg,"₺1.099,99"
Kıvırcık Kuzu Gerdan Haşlama Kg,"₺979,99"
Kıvırcık Kuzu Kapama Kg,"₺1.119,99"
Dana Antrikot Kg,"₺1.549,99"
Dana Biftek Kg,"₺1.249,99"
Kıvırcık Kuzu Külbastı Kg,"₺1.419,99"
Kuzu Kuşbaşı Kg,"₺1.299,99"
Kıvırcık Kuzu Sac Kavurma Kg,"₺1.179,99"
Dana Sote Kg,"₺1.249,99"
Akdeniz Toros Piliç Derisiz Kemiksiz But Kg,"₺489,99"
Akdeniz Toros Açık Dondurulmuş Mantı Kg,"₺279,99"
Akdeniz Toros Açık Dana Macar Salam Kg,"₺979,99"
Akdeniz Toros Dana Kıyma Döner 250 g,"₺329,95"
