product_name,price
Karcher SC 3 Easyfix Buharlı Temizlik Makinesi,"11.989,00"
Philips HR2738/00 Daily Collection Narenciye Sıkacağı,"1.239,00"
Philips CA6700/10 Espresso Makinesi Kireç Çözücü,"479,00"
Philips CA6704/10 Kahve Yağı Çözücü Tablet,"369,00"
DeLonghi CTO 2003 BK Icona Ekmek Kızartma Makinesi,"3.499,00"
KitchenAid 1.7 lt 5KFP0719EER Empire Red 250 W Mutfak Robotu,"13.999,00"
Philips CA6700/10 Espresso Makinesi Kireç Temizleme Solüsyonu - CA6704/10 Yağ Çözücü Tablet 2'li Avantaj Set,"949,00"
KitchenAid Go 5KHMR762BM Bataryalı El Mikseri,"14.999,00"
Dlc Favonıo 35W Bakır Motor Led Beyaz Tavan Vantilatörü 132cm,"9.990,00"
Dlc TSP40-RC Bakır Motor Uzaktan Kumandalı Buharlı Vantilatör Ayaklı Vantilatör,"5.599,00"
Dlc Nem Alma Ve Hava Temizleme Cihazı 22 Litre Hepa Filtreli Ve Su Hazneli DYD-Z22B431,"23.900,00"
Gazzella SM GZK 100 B Squad Büyük Kol ve Omuz Ütüleme Aparatı,"759,00"
Philips HR1863/20 Viva Collection Katı Meyve Sıkacağı,"6.499,00"
KitchenAid Artisan 5KEK1522ECA Candy Apple 2400 W 1.5 lt Çelik Kettle,"19.999,00"
Braun MQ7087X Multiquick 7 El Blender Seti,"9.999,00"
Karcher KB 5 3.7 V Dikey Şarjlı Süpürge,"5.999,00"
KitchenAid 5KCM1209EER Empire Red Kırmızı Filtre Kahve Makinesi,"13.999,00"
KitchenAid Artisan 5KMT2204EER Empire Red 2 Dilim Ekmek Kızartma Makinesi,"26.999,00"
Philips HR3705/10 Daily Collection Mikser,"1.499,00"
Ariete Vintage Smoothie Blender - Bej,"2.999,00"
Komo KoMoMio Nature Un Değirmeni,"35.305,00"
Dlc TSP40-EA Bakır Motor Uzaktan Kumandalı Buharlı İyonizerli Vantilatör Ayaklı Vantilatör,"8.399,00"
KitchenAid 5KCM1209EAC Almond Cream Beyaz Filtre Kahve Makinesi,"13.999,00"
KitchenAid 5KMT221ESX Stainless steel 2 Dilim Ekmek Kızartma Makinesi,"12.999,00"
KitchenAid 5KMT221EER Empire Red 2 Dilim Ekmek Kızartma Makinesi,"12.999,00"
KitchenAid 5KSM2CB5BM 4.7 lt Stand Mikser İçin Seramik Kase Siyah,"7.999,00"
KitchenAid 5KSM2CB5ER 4.7 lt Stand Mikser İçin Seramik Kase Kırmızı,"7.999,00"
KitchenAid 5KSM2CB5LW 4.7 lt Stand Mikser İçin Seramik Kase Beyaz,"6.999,00"
KitchenAid 5KSM2CB5PFC 4.7 lt Stand Mikser İçin Seramik Kase Gold,"7.999,00"
KitchenAid 5KSM2CB5PWS 4.7 lt Stand Mikser İçin Seramik Kase Beyaz,"7.999,00"
KitchenAid 5KSM2CB5PBS 4.7 lt Stand Mikser İçin Seramik Kase Siyah,"7.999,00"
KitchenAid 5K5THSBP 4.8 lt Stand Mikser İçin Çelik Kase,"7.999,00"
KitchenAid 5KSM5SSBVG 4.8 lt Stand Mikser İçin Çelik Kase Gold,"6.999,00"
