City,District,Rooms,Price
Isparta,Merkez / Anadolu,1+1,12.000 TL
Isparta,Atabey,2+1,10.500 TL
Isparta,Merkez / Anadolu,2+1,11.000 TL
Isparta,Merkez / Kutlubey,Stüdyo (1+0),11.000 TL
Isparta,Merkez / Anadolu,1+1,9.000 TL
Isparta,Merkez / Kutlubey,1+1,11.000 TL
Isparta,Merkez / Anadolu,1+1,12.000 TL
Isparta,Merkez / Anadolu,1+1,8.000 TL
Isparta,Merkez / Anadolu,Stüdyo (1+0),7.000 TL
Isparta,Merkez / Anadolu,1+1,10.000 TL
Isparta,Merkez / Kutlubey,2+1,12.000 TL
Isparta,Merkez / Anadolu,2+1,8.000 TL
Isparta,Merkez / Kutlubey,2+1,9.000 TL
Isparta,Merkez / Anadolu,1+1,8.500 TL
Isparta,Merkez / Çelebiler,3+1,12.000 TL
Isparta,Uluborlu,2+1,11.000 TL
Isparta,Merkez / Kepeci,2+0,9.000 TL
Isparta,Merkez / Kutlubey,Stüdyo (1+0),11.000 TL
Isparta,Merkez / Anadolu,2+0,11.000 TL
Isparta,Merkez / Anadolu,Stüdyo (1+0),10.000 TL
Isparta,Merkez / Kutlubey,3+1,10.000 TL
Isparta,Merkez / Kepeci,Stüdyo (1+0),9.500 TL
Isparta,Merkez / Anadolu,2+0,12.000 TL
Isparta,Merkez / Anadolu,2+1,12.000 TL
Isparta,Merkez / Anadolu,2+1,11.000 TL
Isparta,Merkez / Anadolu,Stüdyo (1+0),7.000 TL
Isparta,Merkez / Anadolu,1+1,6.500 TL
Isparta,Merkez / Anadolu,2+1,9.900 TL
Isparta,Merkez / Anadolu,2+1,8.500 TL
Isparta,Merkez / Anadolu,1+1,9.500 TL
Isparta,Merkez / Çelebiler,Stüdyo (1+0),8.000 TL
Isparta,Merkez / Anadolu,2+1,12.000 TL
Isparta,Merkez / Anadolu,1+1,8.500 TL
Isparta,Merkez / Anadolu,2+1,12.000 TL
Isparta,Merkez / Anadolu,Stüdyo (1+0),8.500 TL
Isparta,Merkez / Kepeci,2+1,11.000 TL
Isparta,Merkez / Çelebiler,3+1,12.000 TL
Isparta,Merkez / Kutlubey,2+0,12.000 TL
Isparta,Merkez / Anadolu,Stüdyo (1+0),6.000 TL
Isparta,Merkez / Kepeci,1+1,12.000 TL
Isparta,Merkez / Anadolu,2+1,10.000 TL
Isparta,Merkez / Kutlubey,Stüdyo (1+0),12.000 TL
Isparta,Merkez / Anadolu,1+1,12.000 TL
Isparta,Merkez / Anadolu,1+1,10.700 TL
Isparta,Merkez / Kutlubey,Stüdyo (1+0),9.000 TL
Isparta,Merkez / Anadolu,2+0,10.000 TL
Isparta,Merkez / Anadolu,Stüdyo (1+0),7.500 TL
