product_name,price
MerkezefendiBereketli - 2+1,20300.0
MerkezefendiBereketli - 2+1,20500.0
PamukkaleMerkez - 1+1,9250.0
PamukkaleMerkez - 2+1,14000.0
MerkezefendiMerkez - 3.5+1,45000.0
PamukkaleMerkez - 1+1,14500.0
MerkezefendiBereketli - 1+1,23000.0
PamukkaleMerkez - 1+1,24750.0
MerkezefendiBereketli - 2+1,17500.0
Tavas - 2+1,9000.0
PamukkaleMerkez - 1+1,21000.0
MerkezefendiÜçler - 3.5+1,80000.0
MerkezefendiKiremitçi - 1+1,16000.0
PamukkaleMerkez - 2+1,15000.0
Merkezefendiİlbadı - 3+1,36000.0
MerkezefendiBereketli - 1+1,20000.0
PamukkaleMerkez - 1+1,15000.0
PamukkaleMerkez - 1+1,14000.0
PamukkaleMerkez - 1+1,8000.0
MerkezefendiÜçler - 2+1,30000.0
PamukkaleMerkez - 1+1,14000.0
MerkezefendiKiremitçi - 2+1,15000.0
PamukkaleMerkez - 1+1,19000.0
MerkezefendiKiremitçi - 3+1,14000.0
PamukkaleMerkez - 3+1,30000.0
MerkezefendiKuyupınar - 2+1,30000.0
PamukkaleMerkez - 2+1,15000.0
PamukkaleMerkez - 2+1,16000.0
MerkezefendiÜçler - 2+1,30000.0
PamukkaleMerkez - 1+1,15500.0
PamukkaleMerkez - 2+1,21000.0
PamukkaleMerkez - 1+1,12000.0
MerkezefendiÜçler - 3.5+1,52000.0
PamukkaleMerkez - 1+1,20000.0
PamukkaleMerkez - 3+1,22000.0
PamukkaleMerkez - 2+1,19000.0
MerkezefendiGümüşler - 3+1,35000.0
MerkezefendiKiremitçi - 1+1,15500.0
PamukkaleMerkez - 1+1,12000.0
PamukkaleMerkez - 1+1,12500.0
MerkezefendiKiremitçi - 2+1,18250.0
MerkezefendiÜçler - 1+1,15000.0
PamukkaleMerkez - 2+1,22000.0
PamukkaleMerkez - 2+1,20500.0
MerkezefendiBaşkarcı - 3+1,31000.0
PamukkaleMerkez - 1+1,16000.0
PamukkaleMerkez - 1+1,20000.0
PamukkaleMerkez - 2+1,16500.0
PamukkaleMerkez - 1+1,11500.0
PamukkaleMerkez - 2+1,20000.0
PamukkaleMerkez - 2+1,19900.0
PamukkaleMerkez - 3+1,30000.0
MerkezefendiServergazi - 1+1,30000.0
PamukkaleMerkez - 1+1,14000.0
PamukkaleMerkez - 1+1,12500.0
PamukkaleMerkez - 2+1,12000.0
PamukkaleMerkez - 3+1,16000.0
PamukkaleMerkez - 1+1,12000.0
PamukkaleMerkez - 1+1,14000.0
MerkezefendiBereketli - 3+1,25000.0
MerkezefendiBereketli - 2+1,20000.0
MerkezefendiHallaçlar - 3+1,28000.0
Merkezefendiİlbadı - 3+1,22000.0
MerkezefendiÜçler - 3+1,33000.0
PamukkaleMerkez - 1+1,14750.0
PamukkaleMerkez - 1+1,17500.0
PamukkaleMerkez - 2+1,20000.0
PamukkaleMerkez - 3+1,16000.0
MerkezefendiÜçler - 3.5+1,80000.0
Honaz - 1+1,10000.0
MerkezefendiKiremitçi - 3+1,20000.0
PamukkaleMerkez - 1+1,21500.0
PamukkaleMerkez - 1+1,12000.0
PamukkaleMerkez - 2+1,25000.0
PamukkaleMerkez - 1+1,29000.0
MerkezefendiBereketli - 1.5+1,26000.0
MerkezefendiÜçler - 3+1,32000.0
MerkezefendiGümüşler - 3+1,20000.0
MerkezefendiKiremitçi - 1+1,14000.0
MerkezefendiÜçler - 2+1,20000.0
PamukkaleMerkez - 1+1,14000.0
PamukkaleMerkez - 2+1,21000.0
MerkezefendiBereketli - 2+1,24000.0
MerkezefendiKiremitçi - 2+1,17500.0
Acıpayam - 3+1,15000.0
PamukkaleMerkez - 1+1,14000.0
MerkezefendiGümüşler - 3+1,25000.0
Merkezefendiİlbadı - 2+1,12500.0
PamukkaleMerkez - 2+1,14000.0
MerkezefendiKiremitçi - 2+1,23000.0
PamukkaleMerkez - 3+1,16000.0
PamukkaleMerkez - 1+1,13500.0
MerkezefendiKiremitçi - 2+1,16000.0
MerkezefendiBereketli - 2+1,25000.0
PamukkaleMerkez - 1+1,18000.0
MerkezefendiMerkez - 2+1,30000.0
MerkezefendiÜçler - 3+1,30000.0
Çivril - 1+1,15000.0
PamukkaleMerkez - 1+1,15000.0
