product_name,price
ÇİZGİLİ FITTED KOLSUZ SMART CEKET,799.99
CIGARETTE FIT ÇİZGİLİ BELİ LASTİKLİ PANTOLON,1199
FITTED ÇİZGİLİ BLAZER CEKET,3199
LOOSE FIT JAKARLI KAZAK,1399
DİKİŞ DETAYLI MİNİ JEAN ETEK,1499
DERİ GÖRÜNÜMLÜ MİNİ ŞORT,1499
REGULAR FIT BLAZER CEKET,2399
FITTED KOLSUZ CASUAL CEKET,999.99
STRAIGHT FIT PİLELİ PANTOLON,799.99
SATEN SIRTI AÇIK BLUZ,799.99
UZUN SATEN ETEK,1199
MİDİ SUNİ KÜRK KABAN,2999
PİLELİ MİNİ JEAN ETEK,1299
OVERSIZE TAŞLI JEAN CEKET,2299
JAKARLI EKOSELİ BİSİKLET YAKA HIRKA,1399
UZUN SATEN ETEK,1199
DESENLİ BİSİKLET YAKA YELEK,1599
BİSİKLET YAKA KAZAK,1499
LOOSE FIT BİSİKLET YAKA YUMUŞAK DOKULU TRİKO KAZAK,1199
LOOSE FIT SAÇ ÖRGÜLÜ DİK YAKA KAZAK,1399
LOOSE FIT DÜĞME DETAYLI BİSİKLET YAKA SWEATSHIRT,1099
BASKILI KAPÜŞONLU OVERSIZE SWEATSHIRT,1199
POLO YAKA SWEATSHIRT,1099
DİK YAKA ÖRME SWEATSHIRT,999.99
KOLSUZ DİK YAKA PİLELİ MİNİ ELBİSE,1499
KISA KOLLU FITTED MİNİ ELBİSE,1299
KOLSUZ DİK YAKA PİLELİ MİNİ ELBİSE,1499
KRUVAZE MİNİ ŞORT ETEK,999.99
LOOSE FIT DİK YAKA KAZAK,859.99
A KESİM TRİKO MİNİ ETEK,999.99
DÜŞÜK OMUZ KADİFE DOKULU MİDİ ELBİSE,3199
KISA KAŞE KABAN,4799
BALIKSIRTI OVERSIZE KEMERLİ UZUN PALTO,4999
KAPİTONELİ KISA PUFFER MONT,1599
DİK YAKA KOLSUZ BLUZ,649.99
WIDE LEG KLASİK PANTOLON,1199
FITTED KARE YAKA KOLSUZ CEKET,1199
ÇİZGİLİ KEMER DETAYLI WIDE LEG PANTOLON,1599
DİKİŞ DETAYLI MİNİ ETEK,1999
KORSE BAĞLAMALI SÜET DOKULU MİNİ ELBİSE,1999
YAKA DETAYLI UZUN KOLLU MİNİ ELBİSE,999.99
BİSİKLET YAKA KAZAK,1499
FITTED ASİMETRİK BLUZ,859.99
ÖN CEP DETAYLI JEAN PANTOLON,1699
İNCİLİ BİSİKLET YAKA KAZAK,1699
ASTAR DETAYLI LOOSE FİT KAPÜŞONLU YAĞMURLUK,3999
A FORM MİDİ ETEK,2599
WIDE LEG PİLELİ PANTOLON,2999
OVERSIZE KISA PARDÖSÜ,4799
MİNİ KALEM ETEK,1399
KEMERLİ DİK YAKA YAĞMURLUK,3999
BELİ BÜZGÜLÜ KOLSUZ MİDİ ELBİSE,3599
DÖKÜMLÜ ANVELOP BLUZ,1999
FITTED V YAKA TRİKO YELEK,1599
MODAL KARIŞIMLI BÜZGÜLÜ BAĞLAMALI BLUZ,2299
WIDE LEG JEAN PANTOLON,1999
NERVÜR DİKİŞLİ OVERSIZE BİSİKLET YAKA T-SHIRT,899.99
FİTİLLİ UZUN KOLLU BLUZ,899.99
FİTİLLİ UZUN KOLLU BLUZ,899.99
DESENLİ LOOSE FIT BAĞLAMALI BLUZ,2299
FITTED POLO YAKA KISA KOLLU TRİKO KAZAK,1599
FITTED V YAKA TRİKO YELEK,1599
KRUVAZE KAPAMA BLAZER CEKET,3999
FITTED TEK CEPLİ CEKET,3299
FITTED BÜZGÜLÜ YIRTMAÇLI MİDİ ELBİSE,1599
DİKİŞ DETAYLI KISA KOLLU BLUZ,1199
PAÇA DETAYLI STRAIGHT FIT JEAN PANTOLON,2299
ÇİZGİLİ FİYONK DETAYLI UZUN KOLLU GÖMLEK,2299
KORSE BAĞLAMALI CROPPED FLARE JEAN PANTOLON,1999
OVERSIZE KISA KOLLU CEPLİ MİDİ ELBİSE,1799
MODAL KARIŞIMLI BELİ BAĞLAMALI WIDE LEG PANTOLON,1999
FITTED U YAKA KOLSUZ BLUZ,799.99
PİLELİ MİDİ BERMUDA ŞORT,1699
JAKARLI ÖRME KISA KOLLU KAZAK,1299
FITTED U YAKA KOLSUZ BLUZ,799.99
V YAKA FITTED TRİKO HIRKA,1799
PİLELİ MİNİ ETEK,1199
FITTED KAYIK YAKA BALON KOL BLUZ,1199
GÖMLEK DETAYLI POLO YAKA LOOSE FIT KISA KOLLU SWEATSHIRT,1699
BASKILI BİSİKLET YAKA T-SHIRT,759.99
BASKILI OVERSIZE BİSİKLET YAKA T-SHIRT,759.99
MODAL KARIŞIMLI BELİ BAĞLAMALI WIDE LEG PANTOLON,1999
WIDE LEG PANTOLON,1999
FITTED V YAKA T-SHIRT,799.99
STRAIGHT FIT PANTOLON,2199
FITTED AJURLU 3/4 KOL KAZAK,1299
FITTED ÇİZGİLİ KISA KOLLU TRİKO KAZAK,1599
BÜZGÜLÜ KOLSUZ BLUZ,899.99
FITTED DANTELLİ V YAKA T-SHIRT,799.99
FITTED V YAKA DÜĞMELİ YELEK,1499
FITTED DÜĞMELİ POLO YAKA KISA KOLLU TRİKO KAZAK,2199
BİYELİ BİSİKLET YAKA T-SHIRT,999.99
NAKIŞLI CEP DETAYLI BİSİKLET YAKA T-SHIRT,999.99
DESENLİ V YAKA MİNİ ELBİSE,2999
BELİ LASTİKLİ BALON MİDİ ETEK,2399
ÇİZGİLİ OVERSIZE UZUN KOLLU GÖMLEK,2299
LİYOSEL KARIŞIMLI OVERSIZE UZUN KOLLU GÖMLEK,2599
OVERSIZE BLAZER CEKET,3399
WIDE LEG PANTOLON,2599
DESENLİ OVERSIZE BİSİKLET YAKA SWEATSHIRT,1599
DESENLİ ÇİFT FERMUARLI KAPÜŞONLU UZUN YAĞMURLUK,3999
A FORM KEMER DETAYLI MİNİ ELBİSE,2999
ÇİZGİLİ CLOUTTE FIT JEAN PANTOLON,2599
