product_name,price,Rooms
Merkez / Bayburt,8500.0,2+1
Merkez / Bayburt,13000.0,2+1
Merkez / Bayburt,13000.0,1+1
Merkez / Bayburt,13000.0,2+1
Merkez / Bayburt,9500.0,3+1
Merkez / Bayburt,11000.0,3+1
Merkez / Bayburt,10500.0,2+1
Merkez / Bayburt,10000.0,3+1
Merkez / Bayburt,11000.0,3+1
Merkez / Bayburt,12500.0,2+1
Merkez / Bayburt,9500.0,3+1
Merkez / Bayburt,10750.0,2+1
Merkez / Bayburt,14500.0,1+1
Merkez / Bayburt,13000.0,2+1
Merkez / Bayburt,11250.0,3+1
Merkez / Bayburt,10500.0,2+1
Merkez / Bayburt,12000.0,3+1
Merkez / Bayburt,12000.0,2+1
Merkez / Bayburt,10000.0,2+1
Merkez / Bayburt,12500.0,2+1
Merkez / Bayburt,12500.0,3+1
Merkez / Bayburt,14000.0,3+1
Merkez / Bayburt,13000.0,3+1
Merkez / Bayburt,13000.0,3+1
Merkez / Bayburt,13500.0,1+1
Merkez / Bayburt,10500.0,1+1
Merkez / Bayburt,12500.0,3+1
Merkez / Bayburt,13000.0,2+1
Merkez / Bayburt,10000.0,2+1
Merkez / Bayburt,14000.0,3+1
Merkez / Bayburt,11500.0,2+1
Merkez / Bayburt,13500.0,3+1
Merkez / Bayburt,12500.0,2+1
Merkez / Bayburt,10500.0,2+1
Merkez / Bayburt,11500.0,1+1
Merkez / Bayburt,12000.0,3+1
Merkez / Bayburt,11500.0,2+1
Merkez / Bayburt,13000.0,2+1
Merkez / Bayburt,10000.0,2+1
Merkez / Bayburt,13250.0,2+1
Merkez / Bayburt,11000.0,3+1
Merkez / Bayburt,12000.0,3+0
Merkez / Bayburt,11800.0,2+1
Merkez / Bayburt,12000.0,3+1
Merkez / Bayburt,8500.0,2+1
Merkez / Bayburt,14000.0,3+1
Merkez / Bayburt,13500.0,2+1
Merkez / Bayburt,11000.0,1+1
Merkez / Bayburt,13000.0,3+1
Merkez / Bayburt,12000.0,2+1
Merkez / Bayburt,12000.0,2+1
Merkez / Bayburt,12500.0,2+1
Merkez / Bayburt,12500.0,3+1
Merkez / Bayburt,10500.0,2+1
Merkez / Bayburt,12500.0,2+1
Merkez / Bayburt,10000.0,3+1
Merkez / Bayburt,9500.0,1+1
Merkez / Bayburt,10000.0,2+1
Merkez / Bayburt,10000.0,2+1
Merkez / Bayburt,14500.0,3+1
Merkez / Bayburt,13500.0,3+1
Merkez / Bayburt,17500.0,1+1
Merkez / Bayburt,17500.0,1+1
Merkez / Bayburt,20500.0,2+1
Merkez / Bayburt,15000.0,1+1
Merkez / Bayburt,16000.0,3+1
Merkez / Bayburt,15000.0,3+1
Merkez / Bayburt,17500.0,3+1
Merkez / Bayburt,15000.0,1+1
Merkez / Bayburt,21500.0,3+1
Merkez / Bayburt,18500.0,3+1
Merkez / Bayburt,21000.0,3+1
Merkez / Bayburt,15500.0,3+1
Merkez / Bayburt,18000.0,Stüdyo (1+0)
Merkez / Bayburt,17000.0,3+1
Merkez / Bayburt,21000.0,2+1
Merkez / Bayburt,18500.0,1+1
Merkez / Bayburt,15000.0,3+1
Merkez / Bayburt,15000.0,2+1
Merkez / Bayburt,15000.0,3+1
Merkez / Bayburt,15000.0,3+1
Merkez / Bayburt,22000.0,2+1
Merkez / Bayburt,18500.0,1+1
Merkez / Bayburt,16000.0,3+1
Merkez / Bayburt,19950.0,3+1
Merkez / Bayburt,23500.0,2+1
Merkez / Bayburt,20000.0,2+1
Merkez / Bayburt,16000.0,3+1
Merkez / Bayburt,18000.0,1+1
Merkez / Bayburt,20000.0,1+1
Merkez / Bayburt,16000.0,2+1
Merkez / Bayburt,15500.0,3+1
Merkez / Bayburt,18200.0,1+1
Merkez / Bayburt,15500.0,2+1
Merkez / Bayburt,17751.0,3+1
Merkez / Bayburt,20000.0,3+1
Merkez / Bayburt,15500.0,1+1
Merkez / Bayburt,15250.0,3+1
Merkez / Bayburt,16000.0,2+1
Merkez / Bayburt,17000.0,2+1
Merkez / Bayburt,20500.0,2+1
Merkez / Bayburt,15500.0,3+1
Merkez / Bayburt,20000.0,3+1
Merkez / Bayburt,18200.0,3+1
Merkez / Bayburt,18000.0,2+1
Merkez / Bayburt,16500.0,1+1
Merkez / Bayburt,15500.0,1+1
Merkez / Bayburt,15000.0,3+1
Merkez / Bayburt,22000.0,2+1
Merkez / Bayburt,15500.0,3+1
Merkez / Bayburt,20000.0,3+1
Merkez / Bayburt,16500.0,3+1
Merkez / Bayburt,18750.0,3+1
Merkez / Bayburt,26500.0,3+1
Merkez / Bayburt,24000.0,2+1
Merkez / Bayburt,15000.0,1+1
Merkez / Bayburt,16000.0,1+1
Merkez / Bayburt,21950.0,1+1
Merkez / Bayburt,18000.0,3+1
Merkez / Bayburt,18000.0,3+1
Merkez / Bayburt,15000.0,3+1
Merkez / Bayburt,15500.0,1+1
Merkez / Bayburt,15000.0,3+1
Merkez / Bayburt,24500.0,2+1
