item_name,price,category,date
21v Darbeli Kömürsüz Kırıcı Delici Hilti &amp; Taşlama &amp; Matkap &amp; Somun Sıkma Sökme 4&#039;lü Set,6890.0,Akülü Vidalamalar,2026.05.06
12v Metal Şanzıman Çift Akülü Bakır Sargı Şarjlı Matkap Akülü Vidalama,1399.9,Akülü Vidalamalar,2026.05.06
12v Çift Akü Şarjlı Matkap Metal Şanzıman Akülü Vidalama,1399.9,Akülü Vidalamalar,2026.05.06
B D Ld12ska-tr 12v Vidalama+30 Prç Aks,1999.0,Akülü Vidalamalar,2026.05.06
Dt7969-qz 32 Parça Vid Uç Seti,949.9,Akülü Vidalamalar,2026.05.06
LD12SP Akülü Vidalama,2399.0,Akülü Vidalamalar,2026.05.06
Promo Blister Akülü Vidalama + 24 Parça Aksesuar,599.9,Akülü Vidalamalar,2026.05.06
12v Çift Akü Şarjlı Matkap Akülü Vidalama,999.9,Akülü Vidalamalar,2026.05.06
"Te-cd 18/44 Li-i Darbeli Vidalama 1x2,5a",4249.0,Akülü Vidalamalar,2026.05.06
"Tp-Cd 18/60 Li Bl - Solo, Akülü Vidalama",3999.0,Akülü Vidalamalar,2026.05.06
Bits Uç Seti Üçlü 89 mm,359.9,Akülü Vidalamalar,2026.05.06
Manyetik Tutucu Universal 60 mm,349.9,Akülü Vidalamalar,2026.05.06
Pz Vidalama Ucu Üçlü 89 mm,359.9,Akülü Vidalamalar,2026.05.06
Impact Control Serisi Vidalama Ucu 8&#039;li PZ2 *25mm,349.9,Akülü Vidalamalar,2026.05.06
10 Adet Vidalama Ucu ve 20 cm Uzatma Adaptörü,359.9,Akülü Vidalamalar,2026.05.06
Bits Uç Takımı 7 Parça,519.9,Akülü Vidalamalar,2026.05.06
DCD710D2 10.8 Li-Ion Çift Akülü Vidalama,8499.0,Akülü Vidalamalar,2026.05.06
10 Adet Vidalama Ucu ve 30 cm Uzatma Adaptörü,379.9,Akülü Vidalamalar,2026.05.06
Fatmax Sbd715b 18v 4.0 Ah Çift Akülü Darbeli Vidalama,7570.0,Akülü Vidalamalar,2026.05.06
Impact Control Serisi Vidalama Ucu 8&#039;li PH2 *50mm,453.7,Akülü Vidalamalar,2026.05.06
Sds-plus 11&#039;li Alüminyum Çantalı Uç Ve Keski Seti - 2608578765,1056.0,Akülü Vidalamalar,2026.05.06
Hex Allen Bits Uç Seti Sekizli 25 mm,79.99,Akülü Vidalamalar,2026.05.06
Mini X-Line 25 Parçalı Vidalama Seti,363.0,Akülü Vidalamalar,2026.05.06
"Go 3,6 Volt Akülü Vidalama Makinesi- 06019h2201",2843.0,Akülü Vidalamalar,2026.05.06
Gsb 120-li 2 Ah Çift Akülü Darbeli Delme Vidalam Matkap Ve 23 Parça Uç Seti 06019g8102,6106.5,Akülü Vidalamalar,2026.05.06
Vidalama Ucu Seti 43 Parça,1411.37,Akülü Vidalamalar,2026.05.06
Bits Ucu Seti 3 Parça PZ Uç Seti,44.99,Akülü Vidalamalar,2026.05.06
21v Bakır Sargı Kömürsüz Motor Çelik Mandren Darbeli Şarjlı Matkap Akülü Vidalama,2399.9,Akülü Vidalamalar,2026.05.06
Akülü Vidalama Şarjlı Tornavida Şarjlı Matkap Ixo 7 + Bosch 46 Parça Cırcır Tornavida Vidalama Ucu,3000.0,Akülü Vidalamalar,2026.05.06
Hızlı Uç Değiştirme Mandrenli Üniversal Tutucu *60mm 1/4&#034; Altıgen Şaft,484.77,Akülü Vidalamalar,2026.05.06
Impact Control Serisi Vidalama Ucu 8&#039;li PH2x2/PZ2x2/T20/T30 *50mm + Standart Tutucu *60mm,441.0,Akülü Vidalamalar,2026.05.06
Gsr 185-li Darbesiz Vidalama 2 Akü,9032.0,Akülü Vidalamalar,2026.05.06
Akülü Vidalama GSR 180-LI,8420.0,Akülü Vidalamalar,2026.05.06
Uneo Maxx Çift Akülü Vidalama,10754.0,Akülü Vidalamalar,2026.05.06
Pozidriv Bits Uç PZ2,139.9,Akülü Vidalamalar,2026.05.06
Vidalama Ucu 50 mm PH/PZ/SL,107.9,Akülü Vidalamalar,2026.05.06
