item_name,price
Merkez / İzzetpaşa - 2+1,7500.0
Merkez - 4+1,12000.0
Merkez / 1800 Evler - 3+1,17500.0
Merkez / İzzetpaşa - 4+1,12000.0
Merkez / 1800 Evler - 1+1,22500.0
Merkez / 1800 Evler - 4+1,8000.0
Merkez - 3+1,10500.0
Merkez / Sürsürü - 1+1,18250.0
Merkez / Sürsürü - 3+1,18000.0
Merkez / İzzetpaşa - 3+1,15000.0
Kovancılar - 3+1,13000.0
Merkez / Sürsürü - 4+1,23000.0
Merkez - 3+1,7500.0
Merkez - 2+1,10000.0
Merkez / Sürsürü - 3+1,28500.0
Merkez / Sürsürü - 3+1,20000.0
Merkez / Sürsürü - 1+1,16000.0
Merkez / İzzetpaşa - 3+1,10000.0
Merkez / Nailbey - 3+1,10000.0
Merkez / 1800 Evler - 3+1,25000.0
Merkez / Mustafapaşa - 3+1,8000.0
Merkez - 3+1,15000.0
Merkez / Sürsürü - 3+1,15000.0
Merkez - 3+1,7500.0
Merkez - 3+1,11000.0
Merkez / Mustafapaşa - 3+1,16000.0
Merkez - 3+1,12500.0
Merkez / Mustafapaşa - 3+1,9000.0
Merkez / Mustafapaşa - 3+1,15500.0
Merkez / Sürsürü - 3+1,18000.0
Merkez / Mustafapaşa - 2+1,9500.0
Merkez / 1800 Evler - 1+1,15000.0
Merkez / Sürsürü - 4+1,33000.0
Merkez / 1800 Evler - 4+1,25000.0
Merkez / Nailbey - 3+1,19500.0
Merkez / 1800 Evler - 4+1,20000.0
Merkez / 1800 Evler - 1+1,20000.0
Merkez / Sürsürü - 4+1,19500.0
Merkez / İzzetpaşa - Stüdyo (1+0),15000.0
Merkez / Nailbey - 4+1,17500.0
Merkez - 3+1,8500.0
Merkez / Sürsürü - 3+1,19000.0
Merkez / İzzetpaşa - 3+1,24000.0
Merkez / Sürsürü - 4+1,22000.0
Merkez / 1800 Evler - 3+1,15000.0
Merkez - 3+1,11000.0
Merkez - 3+1,12000.0
Merkez / Sürsürü - 1+1,23000.0
Merkez / Sürsürü - 4+1,13500.0
Merkez / Köyler - 3+1,9000.0
Merkez / İzzetpaşa - 2+1,14500.0
Merkez - 2+1,10000.0
Merkez / 1800 Evler - 1+1,17000.0
Merkez - 2+1,10000.0
Merkez - 3+1,10750.0
Merkez / Sürsürü - 2+0,16000.0
Merkez / Sürsürü - 1+1,24000.0
Merkez / Sürsürü - 3+1,24000.0
Merkez / 1800 Evler - 4+1,25000.0
Merkez / Sürsürü - 3+1,13500.0
Merkez - 3+1,13000.0
Merkez / Sürsürü - 3+1,20000.0
Merkez / Sürsürü - 3+1,12000.0
Merkez / Sürsürü - 3+1,36000.0
Merkez / İzzetpaşa - 3+1,15750.0
Merkez / İzzetpaşa - 1+1,15500.0
Merkez / İzzetpaşa - 2+0,19000.0
Merkez / Sürsürü - 1+1,15000.0
Merkez / Sürsürü - 4+1,17500.0
Merkez - 2+1,11500.0
Merkez / Nailbey - 3+1,9000.0
Merkez / Nailbey - 3+1,6000.0
Merkez / Sürsürü - 1+1,24500.0
Merkez / Sürsürü - 2+1,13500.0
Merkez / Sürsürü - 2+1,13650.0
Merkez / Sürsürü - 1+1,20000.0
Merkez / 1800 Evler - 4+1,25000.0
Merkez / Sürsürü - 2+1,7000.0
Merkez / Mustafapaşa - 2+1,28500.0
Merkez / Nailbey - 2+1,12000.0
Merkez / İzzetpaşa - 2+1,18500.0
Merkez / Nailbey - 3+1,13000.0
Merkez / Mustafapaşa - 3+1,15000.0
Merkez - 3+1,9000.0
Merkez / Sürsürü - 2+1,9500.0
Merkez / Doğukent - 2+1,22000.0
Merkez - 2+1,10000.0
Merkez / Sürsürü - 1+1,23000.0
Merkez / Doğukent - 1+1,18000.0
Merkez - 1+1,20000.0
Merkez / İzzetpaşa - 3+1,15000.0
Merkez / Doğukent - 3+1,14000.0
Merkez - 3+1,7000.0
Merkez / Köyler - 2+1,11000.0
Merkez / Mustafapaşa - 3+1,12000.0
Merkez / İzzetpaşa - 3+1,10500.0
Merkez / İzzetpaşa - 2+1,15500.0
Merkez / İzzetpaşa - 3+1,11000.0
Merkez / Sürsürü - 1+1,23000.0
Merkez / Sürsürü - 1+1,15000.0
