District,Rooms,Price
Battalgazi / Merkez,3+1,12.500 TL
Battalgazi / Merkez,3+1,14.000 TL
Yeşilyurt / Merkez,4+1,18.000 TL
Battalgazi / Merkez,3+1,16.000 TL
Battalgazi / Merkez,1+1,11.000 TL
Battalgazi / Merkez,2+1,12.000 TL
Yeşilyurt / Merkez,2+1,11.000 TL
Yeşilyurt / Merkez,3+1,10.000 TL
Battalgazi / Merkez,2+1,17.000 TL
Yeşilyurt / Merkez,1+1,12.000 TL
Yeşilyurt / Merkez,3+1,17.500 TL
Battalgazi / Merkez,3+1,17.000 TL
Battalgazi / Merkez,1+1,16.500 TL
Yeşilyurt / Köyler,3+1,10.000 TL
Yeşilyurt / Merkez,3+1,16.500 TL
Battalgazi / Merkez,3+1,15.000 TL
Yeşilyurt / Köyler,3+1,19.000 TL
Yeşilyurt / Merkez,3+1,18.000 TL
Yeşilyurt / Merkez,2+1,18.000 TL
Battalgazi / Merkez,3+1,16.000 TL
Yeşilyurt / Köyler,3+1,17.000 TL
Yeşilyurt / Merkez,3+1,18.500 TL
Yeşilyurt / Merkez,3+1,18.000 TL
Battalgazi / Merkez,3+1,15.000 TL
Yeşilyurt / Merkez,3+1,18.000 TL
Yeşilyurt / Merkez,2+1,12.000 TL
Battalgazi / Merkez,3+1,19.500 TL
Yeşilyurt / Merkez,3+1,17.500 TL
Battalgazi / Merkez,1+1,18.000 TL
Battalgazi / Merkez,3+1,14.000 TL
Yeşilyurt / Köyler,3+1,19.000 TL
Battalgazi / Merkez,2+1,15.000 TL
Battalgazi / Merkez,1+1,16.500 TL
Battalgazi / Merkez,3+1,17.000 TL
Yeşilyurt / Köyler,3+1,11.500 TL
Battalgazi / Merkez,3+1,18.000 TL
Battalgazi / Merkez,3+1,19.500 TL
Battalgazi / Merkez,3+1,17.500 TL
Battalgazi / Merkez,3+1,19.500 TL
Battalgazi / Merkez,3+1,12.000 TL
Battalgazi / Merkez,3+1,12.500 TL
Yeşilyurt / Merkez,3+1,18.000 TL
Yeşilyurt / Merkez,2+1,16.000 TL
Yeşilyurt / Merkez,2+1,18.500 TL
Battalgazi / Merkez,3+1,14.000 TL
Battalgazi / Merkez,3+1,17.000 TL
Yeşilyurt / Merkez,3+1,19.000 TL
Yeşilyurt / Köyler,3+1,11.000 TL
