date,category,product,unit,monthly_qty,avg_unit_price_TRY,avg_monthly_cost_TRY,median_unit_price_TRY,median_monthly_cost_TRY,n_matched,matched_products
Feb 2026,Oils,Olive Oil,Liter,1.1,360.95,397.05,350.0,385.0,19,"KRISTAL ZEYTINYAGI RIVIERA TNK 1LT; KRISTAL ZEYTINYAGI RIVIERA TNK 5LT; KRISTAL ZEYTINYAGI SIZMA 500GR; MARMARA BIRLIK NATUREL SIZMA ZEYTINYAGI 1 LT …; MARMARA BIRLIK NATUREL SIZMA ZEYTINYAGI 250 G…; MARMARA BIRLIK NATUREL SIZMA ZEYTINYAGI 500 M…; MARMARA BIRLIK RIVIERA ZEYTINYAGI 1 LT PET; MARMARA BIRLIK RIVIERA ZEYTINYAGI 250GR PET; MARMARA BIRLIK RIVIERA ZEYTINYAGI 500 ML PET; AHSAF NATUREL SIZMA ZEYTINYAGI 0,5 LT PET; AHSAF NATUREL SIZMA ZEYTINYAGI 1  LT PET; AHSAF NATUREL SIZMA ZEYTINYAGI 3  LT TNK; AHSAF NATUREL SIZMA ZEYTINYAGI 5  LT TNK; AHSAF RIVIERA  ZEYTINYAGI 0,5  LT PET; AHSAF RIVIERA  ZEYTINYAGI 1  LT PET; AHSAF RIVIERA  ZEYTINYAGI 5  LT TNK; KRISTAL ZEYTINYAGI NATUREL SIZMA 1 LT PET; KRISTAL ZEYTINYAGI NATUREL SIZMA 500ML PET; KRISTAL ZEYTINYAGI RIVIERA PET 500ML"
Feb 2026,Other Food Products,Grissini,Kg,2.1,480.0,1008.0,480.0,1008.0,2,ULKER ALTINBASAK GRISSINI KEPEKLI 125GR; ULKER ALTINBASAK GRISSINI SADE 125GR
Mar 2026,Dairy Products,Yogurt,Kg,59.7,80.01,4776.6,75.17,4487.65,20,EKER EFSANE YOGURT 350 GR; EKER EFSANE YOGURT 750 GR; EKER KASE YOGURT 150GR; EKER YOGURT 1500 GR; EKER YOGURT KOVA 2000 GR; ICIM KASE YOGURT 500GR; ICIM TAM YAGLI DOGAL YOGURT 2000GR; ICIM YARIM YAGLI YOGURT 3000 GR; ICIM YOGURT DOGAL 1000GR 8006; SUTAS YOGURT KAYMAKSIZ KOVA 2000GR; SUTAS YOGURT KAYMAKSIZ YK 1000GR; SUTAS YOGURT KAYMAKSIZ YK 1500GR; SUTAS YOGURT KAYMAKSIZ YK 500 GR; TORKU 500 GR.YOGURT HOM.TAM YAG.X24; TORKU 900 GR.YOGURT HOM.TAM YAG.; TORKU DOGAL YOGURT 2000GR; TORKU YARIM YAGLI YOGURT 2000GR; PINAR YOGURT AZ.YAGLI 3000 GR; PINAR YOGURT T.YAGLI 750 GR; PINAR YOGURT Y.YAGLI 2000 GR
Mar 2026,Dairy Products,White Cheese,Kg,5.7,380.7,2169.99,345.31,1968.27,10,AYCA BEYAZ PEYNIR AZ YAGLI PLS. 800 GR; DEREKOY KLASIK PEYNIR KG; EKICI BEYAZ PEYNIR 500 GR; EKICI BEYAZ PEYNIR 800 GR; EKICI TAMYAGLI KLASIK PEYNIR KG; SUTAS BEYAZ PEYNIR  250 GR; SUTAS PRATIK BEYAZ PEYNIR 900 GR; TORKU BEYAZ PEYNIR 900GR; TORKU KREMPARE TAZE PEYNIR 180 GR; EKICI KLASIK BEYAZ PEYNIR 450 GR
Mar 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,4.6,,,,,0,—
Mar 2026,Meat and Protein,Chicken,Kg,10.3,300.32,3093.3,275.0,2832.5,7,LEZITA PILIC DOND. DILIMLI 1000 GR; TOROS BUTUN PILIC KG; TOROS TAVUK BAGET KG; TOROS TAVUK BONFILE KG; TOROS TAVUK KANAT KG; BANVIT BUTUN PILIC KG; LEZITA PILIC CORDON BLEU DOND. 675 GR
Mar 2026,Meat and Protein,Fish,Kg,6.9,1225.0,8452.5,1225.0,8452.5,2,PINAR BALIK KALAMAR 400 GR; PINAR BALIK KARIDES 400 GR
Mar 2026,Meat and Protein,Eggs,Piece,120.0,5.99,718.8,4.83,579.6,8,BOLVADIN GEZEN TAVUK  YUMURTA 15 LI; BOLVADIN YUMURTA SELENYUMLU TAVA 20 LI; EVRENKAYA KOYUM YUMURTA 15 LI; EVRENKAYA KOYUM YUMURTA 30 LU; EVRENKAYA KOYUM YUMURTA 30 LU M 53-63 GR; SOZ YUMURTA 30LU L BOY; SOZ YUMURTA 30LU S BOY; TAKTAK GEZEN TAVUK  YUMURTA 10 LU
Mar 2026,Legumes,Chickpeas,Kg,1.8,141.17,254.11,158.5,285.3,3,ALIM SOZ KABAK NOHUT 1KG; DURU IRI NOHUT 12MM 1000GR; DURU KOCBASI NOHUT 8MM 1000GR
Mar 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,768.33,2074.49,604.17,1631.26,4,ALIM FINDIK ICI 200 GR; ALIM SOZ CEVIZ ICI 150GR; CEVIZ ICI KELEBEK KG; ALIM SOZ CEVIZ ICI 200GR
Mar 2026,Grains,Bread,Kg,18.0,60.0,1080.0,60.0,1080.0,1,EKMEK 250GR
Mar 2026,Fruits,Banana,Kg,16.7,89.9,1501.33,89.9,1501.33,1,MUZ YERLI-KG
Mar 2026,Fruits,Seasonal Fruit,Kg,12.9,177.25,2286.53,177.25,2286.53,2,ALIM UZUM ENERJI KG; KIVI  KG
Mar 2026,Vegetables,Onion,Kg,18.0,,,,,0,—
Mar 2026,Vegetables,Eggplant / Zucchini,Kg,23.1,99.5,2298.45,99.5,2298.45,1,PATLICAN-KG
Mar 2026,Vegetables,Other Vegetables,Kg,11.8,,,,,0,—
Mar 2026,Oils,Olive Oil,Liter,1.1,321.73,353.9,323.5,355.85,18,"KRISTAL ZEYTINYAGI RIVIERA TNK 1LT; KRISTAL ZEYTINYAGI RIVIERA TNK 5LT; MARMARA BIRLIK NATUREL SIZMA ZEYTINYAGI 1 LT …; MARMARA BIRLIK NATUREL SIZMA ZEYTINYAGI 250 G…; MARMARA BIRLIK NATUREL SIZMA ZEYTINYAGI 500 M…; MARMARA BIRLIK RIVIERA ZEYTINYAGI 1 LT PET; MARMARA BIRLIK RIVIERA ZEYTINYAGI 250GR PET; MARMARA BIRLIK RIVIERA ZEYTINYAGI 500 ML PET; AHSAF NATUREL SIZMA ZEYTINYAGI 0,5 LT PET; AHSAF NATUREL SIZMA ZEYTINYAGI 1  LT PET; AHSAF NATUREL SIZMA ZEYTINYAGI 3  LT TNK; AHSAF NATUREL SIZMA ZEYTINYAGI 5  LT TNK; AHSAF RIVIERA  ZEYTINYAGI 0,5  LT PET; AHSAF RIVIERA  ZEYTINYAGI 1  LT PET; AHSAF RIVIERA  ZEYTINYAGI 5  LT TNK; KRISTAL ZEYTINYAGI NATUREL SIZMA 1 LT PET; KRISTAL ZEYTINYAGI NATUREL SIZMA 500ML PET; KRISTAL ZEYTINYAGI RIVIERA PET 500ML"
Mar 2026,Other Food Products,Grissini,Kg,2.1,480.0,1008.0,480.0,1008.0,2,ULKER ALTINBASAK GRISSINI KEPEKLI 125GR; ULKER ALTINBASAK GRISSINI SADE 125GR
