ID,Product Name,Price
1,KÜP ŞEKER 1 KG,"56,75 TL"
2,KINALIELLER KOOP. GLUTENSİZ ARPA ŞEHRİYE 400 GR,"99,00 TL"
3,KINALIELLER KOOP. GLUTENSİZ PENNE MAKARNA 400 GR,"99,00 TL"
4,KINALIELLER KOOP. GLUTENSİZ BURGU MAKARNA 400 GR,"99,00 TL"
5,KINALIELLER KOOP. GLUTENSİZ DİRSEK MAKARNA 400 GR,"99,00 TL"
6,RAMAZAN KOLİSİ BÜYÜK BOY,"2.499,00 TL"
7,RAMAZAN KOLİSİ ORTA BOY,"1.399,00 TL"
8,RAMAZAN KOLİSİ KÜÇÜK BOY,"569,00 TL"
9,ATADAN KOOP. KEKİKLİ DOMATES KURUSU 150 G,"124,00 TL"
10,ATADAN KOOP. KURU İNCE BİBER 60 G,"48,00 TL"
11,ATADAN KOOP. KURU DOLMALIK PATLICAN 20 G,"48,00 TL"
12,EKŞİ MAYALI SÜTLÜ EKMEK 500 G,"50,00 TL"
13,EKŞİ MAYALI TRABZON EKMEĞİ 650 G,"69,00 TL"
14,EKŞİ MAYALI KIBRIS BULLA EKMEĞİ 500 G,"57,50 TL"
15,EKŞİ MAYALI AFYON PATATESLİ KÖY EKMEĞİ 650 G,"75,00 TL"
16,ZİNDE KOOP. ORGANİK KAYISI-ELMA-ŞEFTALİ SUYU 250 ML,"55,50 TL"
17,ZİNDE KOOP. ORGANİK KIRMIZI KARIŞIM SUYU 250 ML,"55,50 TL"
18,ZİNDE KOOP. ŞEFTALİ SUYU 1000 ML,"105,00 TL"
19,ZİNDE KOOP. VİŞNE SUYU 1000 ML,"107,50 TL"
20,YEŞİLYURTLU KOOP. KAVUN REÇELİ 420 GR,"105,00 TL"
21,YEŞİLYURTLU KOOP. MANDALİNA REÇELİ 420 GR,"109,00 TL"
22,SAMANDAĞ KOOP. KITIR KABAK TATLISI 750 GR,"255,00 TL"
23,MARMARABİRLİK SİYAH XZEYTİN (351-380) 950 GR,"222,00 TL"
24,MARMARABİRLİK SİYAH ZEYTİN (261-320) 1000 GR,"312,00 TL"
25,MARMARABİRLİK SİYAH ZEYTİN (201-260) 500 GR,"244,00 TL"
26,YEŞİLAĞAÇ KAKAOLU GOFRET 450 GR,"84,00 TL"
27,YAŞAMYOLU KOOP. RAHATLAMA ÇAYI 120 GR,"166,00 TL"
28,YAŞAMYOLU KOOP. MEYVE ÇAYI 200 GR,"137,50 TL"
29,YAŞAMYOLU KOOP. KIŞ ÇAYI 120 GR,"137,50 TL"
30,TARİŞ KOOP. ANTEP FISTIKLI TAHİN HELVASI 200 GR,"92,00 TL"
31,MARMARABİRLİK SADE ZEYTİN EZMESİ 340 GR,"93,00 TL"
32,6'LI JUMBO HAMBURGER EKMEĞİ 110 GR (6X110),"65,00 TL"
33,6'LI JUMBO SANDVİÇ EKMEĞİ 110 GR (6X110),"65,00 TL"
34,YAŞAMYOLU KOOP. ELMA KURUSU 50 GR,"60,00 TL"
35,DENİZLİ KOOP. NOHUT 1000 GR,"69,00 TL"
36,BOĞAZLIYAN KOOP. KURU FASULYE 1000 GR,"86,50 TL"
37,BOĞAZLIYAN KOOP. KIRMIZI MERCİMEK 1000GR,"69,90 TL"
38,KONURCA KOOP. NATUREL SIZMA ZEYTİNYAĞI 1000 GR,"435,00 TL"
39,YAŞAMYOLU KOOP. ELMALI-HİNDİSTAN CEVİZLİ MEYVE TOPU 40 GR,"60,00 TL"
40,ZİNDE KOOP. ORGANİK YEŞİL SEBZE SUYU 250 ML,"55,50 TL"
41,ZİNDE KOOP. ORGANİK ELMA-TARÇIN SUYU 250 ML,"55,50 TL"
42,ZİNDE KOOP. ORGANİK ELMA SUYU 250 ML,"55,50 TL"
43,MARMARA BİRLİK KURU SELE 3XS 381-410 400 GR,"120,00 TL"
44,MARMARA BİRLİK KURU SELE 3XS 381-410 800 GR,"226,00 TL"
45,MARMARA BİRLİK GOLD MEGA ZEYTİN XL 201-230 400 GR,"199,00 TL"
46,MARMARA BİRLİK GOLD MEGA ZEYTİN XL 201-230 800 GR,"385,00 TL"
47,MARMARA BİRLİK  AZ TUZLU 291-320 SİYAH ZEYTİN 400 GR,"120,00 TL"
48,MARMARA BİRLİK  AZ TUZLU 291-320 SİYAH ZEYTİN 800 GR,"225,00 TL"
49,FİSKOBİRLİK FİSKORELLA KAKAOLU FINDIK KREMA 400 GR,"69,90 TL"
50,DİVRİĞİ KOOP. SÜZME ÇİÇEK BALI 250 GR,"195,00 TL"
51,DİVRİĞİ KOOP. SÜZME ÇİÇEK BALI 450 GR,"379,00 TL"
52,DİVRİĞİ KOOP. SÜZME ÇİÇEK BALI 950 GR,"752,00 TL"
53,DİVRİĞİ KOOP. PETEKLİ ÇİÇEK BAL 500 GR,"379,00 TL"
54,DİVRİĞİ KOOP. PETEKLİ ÇİÇEK BAL 1000 GR,"752,00 TL"
55,DİVRİĞİ KOOP. KUŞBURNU KURUSU 250 GR,"89,00 TL"
56,DİVRİĞİ KOOP. KUŞBURNU KURUSU 500 GR,"159,50 TL"
57,DİVRİĞİ KOOP. KUŞBURNU MARMELATI 220 GR,"124,00 TL"
58,DİVRİĞİ KOOP. KUŞBURNU MARMELATI 390GR,"195,00 TL"
59,BALA KOOP . YARMA 1000 GR,"51,50 TL"
60,BALA KOOP. KIRMIZI MERCİMEK UNU 500 GR,"63,50 TL"
61,KOZAN KOOP. ÇİÇEK TÜP BALI 40 GR,"40,00 TL"
62,KOZAN KOOP. ÇİÇEK TÜP BALI 90 GR,"62,50 TL"
63,KOZAN KOOP. KEVEN - KEKİK BALI 650 GR,"289,00 TL"
64,KOZAN KOOP. ÇİÇEK BALI 850 GR,"355,00 TL"
65,KOZAN KOOP. ÇAM BALI 850 GR,"429,90 TL"
66,KARABÖRTLEN KOOP. ÇAM BALI 460 GR,"189,75 TL"
67,KORABÖRTLEN KOOP. ÇAM BALI 850 GR,"350,00 TL"
68,ZİNDE KOOP. SUMAK 100 GR,"94,00 TL"
69,ZİNDE KOOP. GLUTENSİZ OMEGA 3 KEÇİBOYNUZU ÇİKOLATA 300 GR,"169,00 TL"
70,SAMANDAĞ KOOP. AYVA REÇELİ 430 GR,"185,00 TL"
71,POLATLI ZİRAAT ODASI KÖFTELİK KISIRLIK BULGUR 2000 GR,"64,00 TL"
72,YAŞAMYOLU ELMA SİRKESİ 750 ML CAM,"154,00 TL"
73,DENİZLİ KOOP. BİBER KURUSU 100 GR,"152,00 TL"
74,TARİŞ KOOP. ÜZÜM SİRKESİ 1000 ML,"61,00 TL"
75,TARİŞ KOOP. TAHİN 480 GR,"114,50 TL"
