District,Rooms,Price
Merkez / Balıklı,1+1,12.500 TL
Merkez / Bahçelievler,3+1,13.000 TL
Merkez / Hamidiye,Stüdyo (1+0),12.000 TL
Merkez / Alipaşa,2+1,13.000 TL
Merkez / Balıklı,1+1,15.000 TL
Merkez / Balıklı,1+1,12.000 TL
Merkez / Balıklı,1+1,11.000 TL
Merkez / Balıklı,1+1,11.500 TL
Merkez / Alipaşa,2+0,15.000 TL
Merkez / Balıklı,1+1,14.500 TL
Merkez / Alipaşa,2+1,13.000 TL
Merkez / Balıklı,1+1,14.000 TL
Merkez / Alipaşa,2+1,15.000 TL
Merkez / Balıklı,1+1,11.000 TL
Domaniç / Eskigediz,2+1,15.000 TL
Merkez / Balıklı,1+1,12.000 TL
Merkez / Kirazpınar,1+1,14.500 TL
Merkez / Kirazpınar,1+1,15.000 TL
Merkez / Balıklı,2+1,13.000 TL
Merkez / Balıklı,3+1,12.000 TL
Merkez / Alipaşa,3+1,14.000 TL
Merkez / Balıklı,3+1,15.000 TL
Merkez / Balıklı,1+1,13.000 TL
Merkez / Alipaşa,2+1,14.000 TL
Merkez / Alipaşa,2+1,14.000 TL
Merkez / Alipaşa,2+0,14.000 TL
Merkez / Hamidiye,2+1,15.000 TL
Merkez / Alipaşa,1+1,13.000 TL
Merkez,2+1,10.500 TL
Merkez / Alipaşa,2+1,13.000 TL
Merkez / Balıklı,1+1,13.000 TL
Merkez / Balıklı,2+1,12.000 TL
Merkez / Balıklı,3+1,15.000 TL
Merkez / Bahçelievler,2+1,14.000 TL
Merkez / Kirazpınar,1+1,14.500 TL
Merkez / Alipaşa,1+1,14.500 TL
Merkez / Alipaşa,2+1,12.500 TL
Merkez / Kirazpınar,1+1,15.000 TL
Merkez / Balıklı,1+1,14.000 TL
Merkez / Kirazpınar,1+1,11.000 TL
Tavşanlı,1+1,13.000 TL
Merkez / Kirazpınar,1+1,15.000 TL
Merkez / Balıklı,2+1,14.000 TL
Merkez / Alipaşa,2+1,15.000 TL
Merkez / Bahçelievler,1+1,14.000 TL
Merkez / Alipaşa,2+1,13.000 TL
Merkez / Balıklı,3+1,15.000 TL
Merkez / Balıklı,2+1,15.000 TL
Merkez / Balıklı,1+1,11.000 TL
Merkez / Balıklı,Stüdyo (1+0),12.000 TL
Merkez / Alipaşa,2+1,13.500 TL
Merkez / Balıklı,3+1,15.000 TL
Merkez / Alipaşa,1+1,13.500 TL
Merkez / Bahçelievler,1+1,13.000 TL
Merkez / Alipaşa,2+1,15.000 TL
Merkez / Alipaşa,3+1,13.250 TL
Merkez / Hamidiye,2+1,15.000 TL
Merkez / Alipaşa,2+1,11.500 TL
Merkez / Hamidiye,2+1,12.500 TL
Merkez / Balıklı,3+1,14.000 TL
Merkez / Alipaşa,3+1,14.500 TL
Merkez / Alipaşa,1+1,15.000 TL
Merkez / Bahçelievler,1+1,10.500 TL
Merkez / Balıklı,1+1,15.000 TL
Merkez / Börekçiler,1+1,15.000 TL
Merkez / Balıklı,1+1,12.500 TL
Merkez / Balıklı,1+1,10.500 TL
Merkez / Hamidiye,2+1,12.000 TL
Merkez / Balıklı,2+1,12.000 TL
Merkez / Alipaşa,3+1,10.500 TL
Merkez / Balıklı,2+1,13.000 TL
Merkez / Hamidiye,2+1,12.000 TL
Merkez / Balıklı,1+1,15.000 TL
Merkez / Alipaşa,1+1,10.500 TL
Merkez / Kirazpınar,1+1,15.000 TL
Merkez / Bahçelievler,2+1,15.000 TL
Merkez / Alipaşa,2+0,14.500 TL
Merkez,2+1,13.000 TL
Merkez / Alipaşa,2+1,12.500 TL
Merkez / Alipaşa,2+1,13.000 TL
Merkez / Balıklı,1+1,13.500 TL
Merkez / Alipaşa,1+1,10.500 TL
Merkez / Alipaşa,2+1,14.000 TL
Merkez / Alipaşa,3+1,14.500 TL
Merkez / Bahçelievler,3+1,15.000 TL
Merkez / Balıklı,1+1,12.500 TL
Merkez / Alipaşa,3+1,15.000 TL
Merkez,2+1,13.000 TL
Merkez / Alipaşa,2+1,14.500 TL
Merkez / Alipaşa,3+1,15.000 TL
Merkez / Hamidiye,1+1,11.000 TL
Merkez / Ağaçköy,2+1,14.500 TL
Merkez / Bahçelievler,2+1,12.000 TL
Merkez / Kirazpınar,1+1,15.000 TL
Merkez / Alipaşa,2+1,14.000 TL
Merkez / Balıklı,1+1,11.000 TL
Merkez / Balıklı,1+1,12.000 TL
Merkez / Bahçelievler,2+1,12.000 TL
Merkez / Alipaşa,Stüdyo (1+0),12.000 TL
Merkez / Ağaçköy,2+1,15.000 TL
Merkez / Alipaşa,2+1,15.000 TL
Merkez / Balıklı,1+1,13.500 TL
Merkez / Balıklı,1+1,12.500 TL
Merkez / Hamidiye,1+1,12.500 TL
Merkez,1+1,10.500 TL
Merkez,2+1,15.000 TL
Merkez / Hamidiye,2+1,11.500 TL
Merkez / Balıklı,1+1,11.000 TL
Merkez / Kirazpınar,1+1,13.000 TL
Merkez / Balıklı,2+0,15.000 TL
Merkez / Balıklı,1+1,11.500 TL
Merkez / Alipaşa,3+1,15.000 TL
Merkez / Börekçiler,2+1,12.000 TL
Merkez / Alipaşa,1+1,10.500 TL
Merkez / Balıklı,1+1,14.000 TL
Merkez / Alipaşa,2+1,14.000 TL
Merkez / Balıklı,1+1,12.000 TL
Merkez / Alipaşa,3+1,15.000 TL
Merkez / Balıklı,1+1,12.500 TL
Merkez / Alipaşa,3+1,14.000 TL
Merkez / Balıklı,2+0,13.000 TL
Merkez / Alipaşa,1+1,13.500 TL
Merkez / Börekçiler,2+1,15.000 TL
Merkez / Alipaşa,2+1,14.000 TL
Merkez / Bahçelievler,2+1,14.000 TL
Merkez / Bahçelievler,1+1,14.000 TL
Merkez / Hamidiye,1+1,13.500 TL
Merkez / Balıklı,1+1,11.000 TL
Merkez / Alipaşa,1+1,15.000 TL
Merkez / Bahçelievler,1+1,13.000 TL
Merkez / Alipaşa,3+1,15.000 TL
