District,Rooms,Price,PriceInt
Seferihisar,1+1,4.000 TL,4000
Karabağlar,Stüdyo (1+0),8.500 TL,8500
Tire,2+1,9.000 TL,9000
Bayraklı,2+1,7.500 TL,7500
Buca,1+1,9.000 TL,9000
Menderes,1+1,3.000 TL,3000
Buca,1+1,9.000 TL,9000
Dikili,3+1,7.000 TL,7000
Konak,Stüdyo (1+0),8.500 TL,8500
Buca,Stüdyo (1+0),9.000 TL,9000
Bornova,Stüdyo (1+0),9.500 TL,9500
Kemalpaşa,2+1,9.000 TL,9000
Konak,Stüdyo (1+0),9.500 TL,9500
Bornova,3+1,7.500 TL,7500
Seferihisar,3+1,6.000 TL,6000
Buca,Stüdyo (1+0),7.000 TL,7000
Konak,Stüdyo (1+0),8.500 TL,8500
Dikili,2+1,4.000 TL,4000
Konak,Stüdyo (1+0),9.500 TL,9500
Bornova,Stüdyo (1+0),9.750 TL,9750
Karabağlar,Stüdyo (1+0),9.500 TL,9500
Konak,1+1,9.000 TL,9000
Aliağa,3+1,9.000 TL,9000
Konak,Stüdyo (1+0),8.950 TL,8950
Buca,Stüdyo (1+0),8.000 TL,8000
Urla,Stüdyo (1+0),3.000 TL,3000
Buca,Stüdyo (1+0),8.000 TL,8000
Buca,Stüdyo (1+0),7.000 TL,7000
Konak,3+1,7.500 TL,7500
Dikili,4+1,5.000 TL,5000
Bayraklı,2+1,8.500 TL,8500
Dikili,4+1,5.000 TL,5000
Aliağa,2+1,8.000 TL,8000
Buca,Stüdyo (1+0),9.000 TL,9000
Buca,Stüdyo (1+0),1.750 TL,1750
Ödemiş,3+1,9.500 TL,9500
Bornova,4+0,7.500 TL,7500
Buca,Stüdyo (1+0),9.000 TL,9000
Ödemiş,1+1,8.500 TL,8500
Bornova,3+1,7.500 TL,7500
Seferihisar,1+1,2.000 TL,2000
Buca,Stüdyo (1+0),7.000 TL,7000
Bayraklı,1+1,9.000 TL,9000
Bornova,3+1,7.500 TL,7500
Konak,Stüdyo (1+0),9.750 TL,9750
Bayraklı,3+1,7.000 TL,7000
Buca,Stüdyo (1+0),8.000 TL,8000
Çeşme,3+1,6.000 TL,6000
Buca,Stüdyo (1+0),9.000 TL,9000
Çeşme,4+1,9.000 TL,9000
Çeşme,1+1,3.000 TL,3000
Bornova,2+1,14.000 TL,14000
Menemen,Stüdyo (1+0),13.500 TL,13500
Buca,2+0,11.000 TL,11000
Menemen,1+1,14.750 TL,14750
Karabağlar,3+1,13.500 TL,13500
Menemen,1+1,14.000 TL,14000
Menemen,1+1,14.000 TL,14000
Torbalı,1+1,14.500 TL,14500
Menemen,1+1,14.000 TL,14000
Buca,2+1,14.500 TL,14500
Menemen,1+1,14.000 TL,14000
Torbalı,3+1,14.500 TL,14500
Gaziemir,2+1,12.000 TL,12000
Buca,1+1,13.000 TL,13000
Çeşme,3+1,10.000 TL,10000
Menemen,1+1,14.500 TL,14500
Bornova,2+1,13.500 TL,13500
Buca,2+0,13.000 TL,13000
Bornova,3+1,10.000 TL,10000
Menemen,1+1,13.500 TL,13500
Menemen,1+1,14.500 TL,14500
Karabağlar,1+1,12.000 TL,12000
Karabağlar,3+1,14.000 TL,14000
Bayraklı,4+1,12.500 TL,12500
Menemen,1+1,14.000 TL,14000
Menemen,1+1,14.000 TL,14000
Karabağlar,3+1,13.000 TL,13000
Bornova,1+1,13.000 TL,13000
Karabağlar,2+1,12.000 TL,12000
Bayraklı,1+1,14.000 TL,14000
Buca,1+1,12.000 TL,12000
Buca,2+0,14.000 TL,14000
Buca,2+1,14.000 TL,14000
Ödemiş,3+1,12.750 TL,12750
Menemen,1+1,13.000 TL,13000
Buca,1+1,12.500 TL,12500
Gaziemir,2+1,13.000 TL,13000
Karşıyaka,1+1,13.000 TL,13000
Kiraz,2.5+1,13.500 TL,13500
Ödemiş,1+1,12.000 TL,12000
Menemen,1+1,13.500 TL,13500
Buca,2+1,14.000 TL,14000
Ödemiş,2+1,13.000 TL,13000
Menemen,1+1,14.500 TL,14500
Bayraklı,1+1,14.000 TL,14000
Bayraklı,2+1,14.000 TL,14000
Menemen,1+1,13.500 TL,13500
Karabağlar,2+1,12.000 TL,12000
Urla,1+1,12.000 TL,12000
Dikili,5+2,10.000 TL,10000
Menemen,1+1,13.000 TL,13000
Dikili,5+1,10.000 TL,10000
Çeşme,Stüdyo (1+0),12.500 TL,12500
Karabağlar,Stüdyo (1+0),13.500 TL,13500
Bornova,1+1,10.000 TL,10000
Bornova,1+1,13.000 TL,13000
Menemen,1+1,13.000 TL,13000
Karabağlar,2+1,14.000 TL,14000
Bornova,2+1,14.000 TL,14000
Buca,1+1,14.000 TL,14000
Ödemiş,2+1,12.500 TL,12500
Karabağlar,1+1,13.000 TL,13000
Buca,2+1,14.000 TL,14000
Menemen,1+1,13.000 TL,13000
Konak,2+1,12.500 TL,12500
Buca,Stüdyo (1+0),10.000 TL,10000
Karşıyaka,2+1,13.000 TL,13000
Bornova,2+1,13.000 TL,13000
Menemen,1+1,14.000 TL,14000
Karabağlar,2+1,13.500 TL,13500
Gaziemir,3+1,14.000 TL,14000
Konak,Stüdyo (1+0),11.500 TL,11500
Bornova,1+1,14.000 TL,14000
Çiğli,1+1,10.000 TL,10000
Menemen,1+1,12.500 TL,12500
Konak,1+1,10.000 TL,10000
Bayraklı,2+1,13.000 TL,13000
Menemen,1+1,13.000 TL,13000
Buca,2+1,14.000 TL,14000
Ödemiş,2+1,14.000 TL,14000
Bornova,2+1,14.000 TL,14000
Menemen,1+1,14.000 TL,14000
Bayraklı,2+1,13.000 TL,13000
Bornova,2+1,14.000 TL,14000
Menemen,1+1,14.500 TL,14500
Karabağlar,1+1,13.000 TL,13000
Bornova,Stüdyo (1+0),12.500 TL,12500
Menemen,1+1,14.500 TL,14500
Bayraklı,2+1,11.000 TL,11000
Buca,1+1,14.500 TL,14500
Çiğli,1+1,14.000 TL,14000
Menemen,1+1,14.500 TL,14500
Torbalı,1+1,13.000 TL,13000
Menemen,1+1,14.250 TL,14250
Buca,2+1,13.000 TL,13000
Karabağlar,2+1,13.000 TL,13000
Bornova,1+1,14.000 TL,14000
